Venue,Capacity
Stadio Giuseppe Meazza,75923
Stadio Artmeio Franchi,43147
Stadio Olimpico,70634
Stadio Atleti Azzurri d'Italia,24950
Stadio Renato Dall'Ara,36462
Sardegna Arena,16365
Stadio Comunale Luigi Ferraris,34901
Allianz Stadium,41507
Stadio Ennio Tardini,22352
Stadio San Paolo,54726
Dacia Arena,25144
Stadio Carlo Castellini,19847
Stadio Marc'Antonio Bentegodi,39211
Stadio Pierluigi Penzo,12048
Stadio Olimpico di Torino,28177
Stadio Comunale Via Del Mare,31559
Stadio Comunale Brianteo,17102
Stadio Giuseppe Sinigaglia,13602
